step_label,value
t0001,-0.8487
t0002,-1.4974
t0003,-1.0125
t0004,-1.7277
t0005,-1.2242
t0006,-0.6409
t0007,0.0389
t0008,0.2972
t0009,0.0422
t0010,-1.5232
t0011,-2.3497
t0012,-2.2347
t0013,-1.7008
t0014,-1.7812
t0015,-1.6740
t0016,-0.7768
t0017,0.5218
t0018,1.4467
t0019,1.6263
t0020,1.4067
t0021,1.5039
t0022,2.1341
t0023,1.8784
t0024,2.7620
t0025,3.2896
t0026,1.0691
t0027,-0.3472
t0028,-1.5672
t0029,-1.5803
t0030,-1.8249
t0031,-0.9407
t0032,-0.2860
t0033,1.0375
t0034,0.1636
t0035,1.2325
t0036,3.5675
t0037,3.0724
t0038,4.1566
t0039,5.2583
t0040,5.3720
t0041,4.8599
t0042,5.4886
t0043,5.7186
t0044,4.5791
t0045,4.7806
t0046,4.7139
t0047,5.1221
t0048,4.9464
t0049,5.8147
t0050,6.0220
t0051,5.9138
t0052,5.7929
t0053,6.4798
t0054,8.1999
t0055,9.0510
t0056,9.1042
t0057,10.8384
t0058,12.4878
t0059,10.5148
t0060,11.3455
t0061,11.3936
t0062,12.4923
t0063,11.2451
t0064,11.4837
t0065,11.1259
t0066,12.5264
t0067,11.5315
t0068,11.9453
t0069,10.8061
t0070,11.0117
t0071,10.6564
t0072,10.0612
t0073,11.8897
t0074,13.4756
t0075,13.5925
t0076,14.2345
t0077,13.6937
t0078,13.1435
t0079,12.9962
t0080,12.2573
t0081,12.6363
t0082,14.0538
t0083,14.2123
t0084,14.2738
t0085,14.7959
t0086,14.0954
t0087,13.7692
t0088,13.2574
t0089,12.1310
t0090,11.0333
t0091,11.4287
t0092,11.7595
t0093,11.8270
t0094,11.7160
t0095,13.2551
t0096,10.2187
t0097,11.2006
t0098,11.7734
t0099,11.7387
t0100,12.1734
t0101,9.9375
t0102,10.7211
t0103,10.6794
t0104,11.1762
t0105,11.5803
t0106,10.4262
t0107,10.3933
t0108,10.0156
t0109,8.0223
t0110,9.1707
t0111,8.6945
t0112,8.6802
t0113,9.0473
t0114,7.4180
t0115,8.3161
t0116,7.9760
t0117,7.1730
t0118,8.7117
t0119,9.3781
t0120,11.3453
t0121,11.5577
t0122,12.8351
t0123,12.1554
t0124,14.5018
t0125,14.1286
t0126,15.0568
t0127,15.2032
t0128,14.2317
t0129,13.6733
t0130,14.4011
t0131,14.0369
t0132,14.3076
t0133,14.1055
t0134,15.0030
t0135,14.6019
t0136,14.6411
t0137,16.6723
t0138,16.6231
t0139,17.2194
t0140,16.6881
t0141,16.1522
t0142,17.2061
t0143,17.7229
t0144,17.6591
t0145,15.0876
t0146,14.0739
t0147,15.3566
t0148,14.3167
t0149,13.6759
t0150,13.6012
t0151,13.4323
t0152,12.9134
t0153,14.8756
t0154,15.8648
t0155,16.3355
t0156,15.1277
t0157,15.0583
t0158,13.7689
t0159,15.2521
t0160,16.6160
t0161,17.0062
t0162,17.3710
t0163,19.4789
t0164,17.9178
t0165,16.7937
t0166,17.6715
t0167,19.3373
t0168,20.3201
t0169,20.2409
t0170,19.5257
t0171,19.7732
t0172,18.8316
t0173,18.9310
t0174,18.5026
t0175,19.9641
t0176,20.1228
t0177,19.8022
t0178,18.9886
t0179,20.5681
t0180,21.4872
t0181,21.0551
t0182,19.7626
t0183,20.5340
t0184,21.7606
t0185,22.1340
t0186,20.6149
t0187,20.9755
t0188,21.0278
t0189,21.6427
t0190,21.9387
t0191,20.5145
t0192,20.5385
t0193,20.9494
t0194,20.1542
t0195,20.6456
t0196,21.7714
t0197,21.4944
t0198,21.4387
t0199,21.4624
t0200,22.5137
t0201,21.8923
t0202,20.8293
t0203,19.2257
t0204,18.2278
t0205,17.4182
t0206,15.8986
t0207,16.0974
t0208,13.7040
t0209,14.9300
t0210,13.4313
t0211,12.5177
t0212,13.1540
t0213,14.0840
t0214,13.5098
t0215,14.8177
t0216,13.7895
t0217,13.7952
t0218,13.8841
t0219,14.2839
t0220,14.3252
t0221,12.9545
t0222,14.3269
t0223,15.3761
t0224,15.5010
t0225,14.9630
t0226,16.1402
t0227,15.5250
t0228,16.2992
t0229,17.0305
t0230,20.0626
t0231,21.2080
t0232,19.9097
t0233,20.4712
t0234,20.0529
t0235,19.0260
t0236,18.7998
t0237,18.7308
t0238,19.0487
t0239,19.3957
t0240,19.6930
t0241,19.4772
t0242,19.6029
t0243,19.8116
t0244,18.8087
t0245,19.7631
t0246,19.7686
t0247,20.0704
t0248,20.5907
t0249,19.8579
t0250,20.0907
t0251,21.2700
t0252,19.5660
t0253,19.0820
t0254,19.9415
t0255,20.2286
t0256,21.5026
t0257,20.1266
t0258,21.2291
t0259,22.5149
t0260,21.1168
t0261,20.0508
t0262,20.9548
t0263,22.8385
t0264,21.5614
t0265,22.2254
t0266,22.3650
t0267,23.8304
t0268,24.5374
t0269,25.9303
t0270,25.3794
t0271,25.4626
t0272,25.8323
t0273,26.2940
t0274,26.8573
t0275,28.2497
t0276,28.5720
t0277,29.9522
t0278,30.5437
t0279,31.5316
t0280,31.3748
t0281,31.0521
t0282,30.3122
t0283,29.0017
t0284,28.4478
t0285,27.5885
t0286,27.9399
t0287,27.6174
t0288,26.8530
t0289,28.6224
t0290,26.5021
t0291,25.5525
t0292,27.6414
t0293,27.2115
t0294,27.1099
t0295,29.3536
t0296,29.8635
t0297,30.0252
t0298,30.1925
t0299,29.3911
t0300,30.2302
t0301,28.9063
t0302,29.4836
t0303,28.5191
t0304,28.3777
t0305,29.2969
t0306,29.4134
t0307,30.4425
t0308,31.0092
t0309,32.2206
t0310,30.9867
t0311,31.6979
t0312,31.5496
t0313,33.2389
t0314,34.8235
t0315,35.0961
t0316,33.9788
t0317,33.2384
t0318,32.9631
t0319,34.3922
t0320,35.8239
t0321,36.9041
t0322,35.5288
t0323,34.1305
t0324,31.9491
t0325,31.5927
t0326,30.7123
t0327,28.8368
t0328,28.9357
t0329,28.6819
t0330,29.8075
t0331,30.6586
t0332,29.4155
t0333,28.8492
t0334,29.5121
t0335,30.2727
t0336,30.3657
t0337,28.2824
t0338,28.2241
t0339,27.6803
t0340,28.9567
t0341,27.6006
t0342,25.6938
t0343,25.3474
t0344,24.5700
t0345,24.3262
t0346,24.4273
t0347,25.2528
t0348,24.8231
t0349,24.6364
t0350,23.8592
t0351,23.3062
t0352,23.8887
t0353,23.1945
t0354,22.2062
t0355,22.7078
t0356,24.6049
t0357,24.9959
t0358,25.6451
t0359,23.0902
t0360,24.6806
t0361,24.0741
t0362,25.9015
t0363,25.8545
t0364,26.7992
t0365,25.9006
t0366,26.4276
t0367,26.6614
t0368,26.2408
t0369,26.7452
t0370,26.9891
t0371,25.7334
t0372,24.4150
t0373,24.9499
t0374,24.9053
t0375,24.4028
t0376,23.9542
t0377,24.1521
t0378,24.1786
t0379,24.3350
t0380,24.1600
t0381,24.5685
t0382,22.3391
t0383,22.7641
t0384,23.9642
t0385,23.9971
t0386,22.8236
t0387,21.8501
t0388,22.5453
t0389,22.7838
t0390,22.7044
t0391,21.6429
t0392,21.8258
t0393,20.7307
t0394,20.3722
t0395,21.0094
t0396,19.5960
t0397,19.4951
t0398,19.5117
t0399,18.7386
t0400,19.3716
t0401,16.4794
t0402,16.4621
t0403,14.9583
t0404,14.3272
t0405,15.1303
t0406,15.0101
t0407,16.3873
t0408,15.7831
t0409,16.4179
t0410,14.8759
t0411,13.4752
t0412,12.9536
t0413,13.7517
t0414,12.4740
t0415,14.0795
t0416,15.0267
t0417,16.7227
t0418,17.5040
t0419,17.6845
t0420,19.1989
t0421,18.0858
t0422,18.4591
t0423,18.0307
t0424,16.5941
t0425,16.2985
t0426,17.4777
t0427,17.7559
t0428,19.2943
t0429,19.3927
t0430,20.1991
t0431,20.0698
t0432,20.2719
t0433,19.5805
t0434,19.3752
t0435,18.8307
t0436,18.4876
t0437,18.4004
t0438,17.1448
t0439,18.0073
t0440,17.6289
t0441,17.1189
t0442,15.4950
t0443,15.9612
t0444,16.3428
t0445,16.6675
t0446,16.0524
t0447,15.6783
t0448,13.8788
t0449,13.8743
t0450,14.8762
t0451,14.1521
t0452,14.4863
t0453,13.4755
t0454,12.3925
t0455,11.9381
t0456,12.0034
t0457,11.6455
t0458,12.3009
t0459,12.4088
t0460,12.6279
t0461,12.7114
t0462,14.5159
t0463,14.8633
t0464,15.9173
t0465,17.6700
t0466,18.8301
t0467,19.0628
t0468,21.2287
t0469,21.6118
t0470,20.5218
t0471,21.3456
t0472,21.8215
t0473,21.3976
t0474,22.2831
t0475,21.6721
t0476,20.7556
t0477,20.5803
t0478,20.6197
t0479,21.0288
t0480,20.7002
t0481,21.7261
t0482,20.9025
t0483,20.8856
t0484,20.9768
t0485,18.6475
t0486,18.3285
t0487,19.1457
t0488,19.1953
t0489,18.5551
t0490,18.0823
t0491,18.8658
t0492,17.9982
t0493,19.1028
t0494,18.6335
t0495,17.9635
t0496,17.3643
t0497,17.0011
t0498,19.3900
t0499,17.5800
t0500,17.0087
