store_week,our_price,rival_price
2026-W01,1.89,1.49
2026-W02,1.79,1.59
2026-W03,1.29,1.29
2026-W04,1.69,1.49
2026-W05,1.79,1.89
2026-W06,1.59,1.49
2026-W07,1.49,1.69
2026-W08,1.49,1.59
2026-W09,1.39,1.79
2026-W10,1.49,1.39
2026-W11,1.49,1.59
2026-W12,1.49,1.49
2026-W13,1.79,1.69
2026-W14,1.49,1.79
2026-W15,1.39,1.49
2026-W16,1.79,1.79
2026-W17,1.59,1.49
2026-W18,1.89,1.49
2026-W19,1.39,1.49
2026-W20,1.69,1.49
2026-W21,1.39,1.89
2026-W22,1.89,1.69
2026-W23,1.79,1.49
2026-W24,1.29,1.89
2026-W25,1.59,1.59
2026-W26,1.39,1.49
2026-W27,1.79,1.49
2026-W28,1.49,1.69
2026-W29,1.29,1.59
2026-W30,1.39,1.39
2026-W31,1.29,1.49
2026-W32,1.59,1.49
2026-W33,1.39,1.89
2026-W34,1.59,1.49
2026-W35,1.49,1.39
2026-W36,1.39,1.49
2026-W37,1.49,1.29
2026-W38,1.69,1.29
2026-W39,1.69,1.69
2026-W40,1.29,1.19
2026-W41,1.59,1.59
2026-W42,1.39,1.39
2026-W43,1.59,1.29
2026-W44,1.19,1.49
2026-W45,1.59,1.49
2026-W46,1.29,1.69
2026-W47,1.39,1.59
2026-W48,1.59,1.49
2026-W49,1.89,1.69
2026-W50,1.69,1.39
2026-W51,1.59,1.29
2026-W52,1.79,1.79
2026-W53,1.59,1.49
2026-W54,1.49,1.69
2026-W55,1.29,1.59
2026-W56,1.49,1.29
2026-W57,1.39,1.59
2026-W58,1.59,1.69
2026-W59,1.69,1.39
2026-W60,1.59,1.69
