round,bid,our_cost
R001,108000,85000
R002,104000,85000
R003,92000,85000
R004,100000,85000
R005,100000,85000
R006,100000,85000
R007,104000,85000
R008,108000,85000
R009,96000,85000
R010,104000,85000
R011,104000,85000
R012,96000,85000
R013,96000,85000
R014,96000,85000
R015,100000,85000
R016,100000,85000
R017,100000,85000
R018,108000,85000
R019,104000,85000
R020,100000,85000
R021,104000,85000
R022,112000,85000
R023,100000,85000
R024,100000,85000
R025,100000,85000
R026,100000,85000
R027,100000,85000
R028,100000,85000
R029,100000,85000
R030,100000,85000
R031,96000,85000
R032,104000,85000
R033,104000,85000
R034,104000,85000
R035,108000,85000
R036,108000,85000
R037,104000,85000
R038,96000,85000
R039,104000,85000
R040,112000,85000
R041,104000,85000
R042,112000,85000
R043,112000,85000
R044,108000,85000
R045,108000,85000
R046,104000,85000
R047,104000,85000
R048,100000,85000
R049,100000,85000
R050,104000,85000
R051,104000,85000
R052,108000,85000
R053,100000,85000
R054,100000,85000
R055,108000,85000
R056,104000,85000
R057,96000,85000
R058,100000,85000
R059,108000,85000
R060,104000,85000
R061,96000,85000
R062,92000,85000
R063,92000,85000
R064,104000,85000
R065,104000,85000
R066,104000,85000
R067,108000,85000
R068,100000,85000
R069,108000,85000
R070,104000,85000
R071,100000,85000
R072,104000,85000
R073,100000,85000
R074,108000,85000
R075,108000,85000
R076,108000,85000
R077,116000,85000
R078,104000,85000
R079,100000,85000
R080,96000,85000
R081,104000,85000
R082,112000,85000
R083,100000,85000
R084,100000,85000
R085,100000,85000
R086,104000,85000
R087,108000,85000
R088,108000,85000
R089,92000,85000
R090,112000,85000
