period_label,price
p0001,1.929
p0002,1.898
p0003,1.863
p0004,1.818
p0005,1.791
p0006,1.766
p0007,1.752
p0008,1.716
p0009,1.678
p0010,1.648
p0011,1.595
p0012,1.576
p0013,1.552
p0014,1.504
p0015,1.482
p0016,1.449
p0017,1.415
p0018,1.374
p0019,1.360
p0020,1.324
p0021,1.886
p0022,1.845
p0023,1.831
p0024,1.773
p0025,1.754
p0026,1.725
p0027,1.683
p0028,1.656
p0029,1.602
p0030,1.587
p0031,1.549
p0032,1.499
p0033,1.483
p0034,1.455
p0035,1.437
p0036,1.416
p0037,1.376
p0038,1.352
p0039,1.322
p0040,1.865
p0041,1.837
p0042,1.792
p0043,1.741
p0044,1.717
p0045,1.690
p0046,1.665
p0047,1.634
p0048,1.615
p0049,1.573
p0050,1.556
p0051,1.528
p0052,1.527
p0053,1.508
p0054,1.469
p0055,1.462
p0056,1.439
p0057,1.401
p0058,1.358
p0059,1.354
p0060,1.328
p0061,1.898
p0062,1.872
p0063,1.825
p0064,1.821
p0065,1.780
p0066,1.768
p0067,1.725
p0068,1.683
p0069,1.653
p0070,1.606
p0071,1.563
p0072,1.557
p0073,1.536
p0074,1.492
p0075,1.467
p0076,1.419
p0077,1.405
p0078,1.367
p0079,1.325
p0080,1.301
p0081,1.910
p0082,1.883
p0083,1.841
p0084,1.841
p0085,1.797
p0086,1.780
p0087,1.756
p0088,1.750
p0089,1.699
p0090,1.696
p0091,1.670
p0092,1.657
p0093,1.634
p0094,1.605
p0095,1.593
p0096,1.577
p0097,1.543
p0098,1.524
p0099,1.490
p0100,1.443
p0101,1.400
p0102,1.363
p0103,1.318
p0104,1.908
p0105,1.905
p0106,1.869
p0107,1.844
p0108,1.795
p0109,1.756
p0110,1.704
p0111,1.663
p0112,1.633
p0113,1.620
p0114,1.590
p0115,1.536
p0116,1.507
p0117,1.489
p0118,1.458
p0119,1.419
p0120,1.378
p0121,1.362
p0122,1.318
p0123,1.892
p0124,1.833
p0125,1.804
p0126,1.764
p0127,1.746
p0128,1.684
p0129,1.672
p0130,1.631
p0131,1.622
p0132,1.589
p0133,1.576
p0134,1.548
p0135,1.525
p0136,1.485
p0137,1.436
p0138,1.412
p0139,1.358
p0140,1.319
p0141,1.915
p0142,1.877
p0143,1.859
p0144,1.831
p0145,1.797
p0146,1.763
p0147,1.743
p0148,1.712
p0149,1.671
p0150,1.659
p0151,1.629
p0152,1.602
p0153,1.553
p0154,1.529
p0155,1.485
p0156,1.459
p0157,1.424
p0158,1.371
p0159,1.338
p0160,1.305
p0161,1.860
p0162,1.838
p0163,1.811
p0164,1.808
p0165,1.756
p0166,1.733
p0167,1.711
p0168,1.674
p0169,1.658
p0170,1.619
p0171,1.578
p0172,1.574
p0173,1.551
p0174,1.538
p0175,1.500
p0176,1.460
p0177,1.452
p0178,1.403
p0179,1.395
p0180,1.347
p0181,1.323
p0182,1.280
p0183,1.918
p0184,1.880
p0185,1.838
p0186,1.806
p0187,1.797
p0188,1.737
p0189,1.719
p0190,1.697
p0191,1.676
p0192,1.655
p0193,1.605
p0194,1.567
p0195,1.522
p0196,1.484
p0197,1.430
p0198,1.420
p0199,1.396
p0200,1.378
p0201,1.347
p0202,1.322
p0203,1.875
p0204,1.824
p0205,1.790
p0206,1.748
p0207,1.741
p0208,1.723
p0209,1.703
p0210,1.692
p0211,1.650
p0212,1.594
p0213,1.574
p0214,1.533
p0215,1.507
p0216,1.478
p0217,1.438
p0218,1.400
p0219,1.375
p0220,1.334
p0221,1.316
p0222,1.284
p0223,1.864
p0224,1.851
p0225,1.805
p0226,1.776
p0227,1.733
p0228,1.722
p0229,1.686
p0230,1.659
p0231,1.646
p0232,1.593
p0233,1.595
p0234,1.550
p0235,1.501
p0236,1.499
p0237,1.471
p0238,1.447
p0239,1.414
p0240,1.381
p0241,1.343
p0242,1.316
p0243,1.886
p0244,1.849
p0245,1.828
p0246,1.792
p0247,1.781
p0248,1.747
p0249,1.729
p0250,1.713
p0251,1.689
p0252,1.681
p0253,1.658
p0254,1.609
p0255,1.576
p0256,1.542
p0257,1.501
p0258,1.492
p0259,1.445
p0260,1.406
p0261,1.384
p0262,1.357
p0263,1.338
p0264,1.305
p0265,1.894
p0266,1.862
p0267,1.825
p0268,1.797
p0269,1.782
p0270,1.729
p0271,1.717
p0272,1.679
p0273,1.650
p0274,1.609
p0275,1.584
p0276,1.548
p0277,1.523
p0278,1.515
p0279,1.509
p0280,1.460
p0281,1.436
p0282,1.413
p0283,1.395
p0284,1.345
p0285,1.313
p0286,1.875
p0287,1.878
p0288,1.829
p0289,1.801
p0290,1.786
p0291,1.725
p0292,1.695
p0293,1.677
p0294,1.654
p0295,1.641
p0296,1.624
p0297,1.608
p0298,1.567
p0299,1.545
p0300,1.512
p0301,1.475
p0302,1.434
p0303,1.415
p0304,1.389
p0305,1.379
p0306,1.375
p0307,1.330
p0308,1.913
p0309,1.888
p0310,1.869
p0311,1.846
p0312,1.807
p0313,1.792
p0314,1.756
p0315,1.745
p0316,1.713
p0317,1.658
p0318,1.647
p0319,1.614
p0320,1.570
p0321,1.556
p0322,1.513
p0323,1.479
p0324,1.454
p0325,1.425
p0326,1.381
p0327,1.360
p0328,1.327
p0329,1.869
p0330,1.835
p0331,1.803
p0332,1.757
p0333,1.708
p0334,1.701
p0335,1.675
p0336,1.656
p0337,1.625
p0338,1.619
p0339,1.593
p0340,1.550
p0341,1.529
p0342,1.488
p0343,1.467
p0344,1.428
p0345,1.378
p0346,1.350
p0347,1.315
p0348,1.897
p0349,1.868
p0350,1.815
p0351,1.777
p0352,1.747
p0353,1.725
p0354,1.688
p0355,1.653
p0356,1.617
p0357,1.593
p0358,1.561
p0359,1.525
p0360,1.484
p0361,1.456
p0362,1.431
p0363,1.397
p0364,1.361
p0365,1.350
p0366,1.323
p0367,1.873
p0368,1.845
p0369,1.829
p0370,1.785
p0371,1.758
p0372,1.748
p0373,1.690
p0374,1.658
p0375,1.653
p0376,1.623
p0377,1.591
p0378,1.560
p0379,1.533
p0380,1.509
p0381,1.473
p0382,1.430
p0383,1.396
p0384,1.381
p0385,1.356
p0386,1.324
p0387,1.902
p0388,1.902
p0389,1.870
p0390,1.827
p0391,1.797
p0392,1.761
p0393,1.755
p0394,1.714
p0395,1.676
p0396,1.635
p0397,1.611
p0398,1.593
p0399,1.568
p0400,1.519
p0401,1.488
p0402,1.448
p0403,1.416
p0404,1.364
p0405,1.347
p0406,1.305
p0407,1.917
p0408,1.897
p0409,1.864
p0410,1.814
p0411,1.782
p0412,1.726
p0413,1.728
p0414,1.684
p0415,1.652
p0416,1.625
p0417,1.607
p0418,1.566
p0419,1.537
p0420,1.513
p0421,1.498
p0422,1.472
p0423,1.449
p0424,1.412
p0425,1.383
p0426,1.360
p0427,1.337
p0428,1.299
p0429,1.918
p0430,1.899
p0431,1.881
p0432,1.862
p0433,1.798
p0434,1.764
p0435,1.746
p0436,1.712
p0437,1.685
p0438,1.632
p0439,1.624
p0440,1.586
p0441,1.555
p0442,1.498
p0443,1.474
p0444,1.453
p0445,1.431
p0446,1.404
p0447,1.354
p0448,1.335
p0449,1.914
p0450,1.903
p0451,1.884
p0452,1.862
p0453,1.834
p0454,1.805
p0455,1.767
p0456,1.741
p0457,1.717
p0458,1.698
p0459,1.668
p0460,1.617
p0461,1.601
p0462,1.571
p0463,1.528
p0464,1.479
p0465,1.455
p0466,1.425
p0467,1.398
p0468,1.379
p0469,1.351
p0470,1.330
p0471,1.296
p0472,1.884
p0473,1.857
p0474,1.819
p0475,1.772
p0476,1.738
p0477,1.707
p0478,1.675
p0479,1.655
p0480,1.631
p0481,1.609
p0482,1.577
p0483,1.551
p0484,1.493
p0485,1.490
p0486,1.460
p0487,1.441
p0488,1.387
p0489,1.374
p0490,1.358
p0491,1.337
p0492,1.898
p0493,1.843
p0494,1.805
p0495,1.797
p0496,1.777
p0497,1.753
p0498,1.729
p0499,1.705
p0500,1.670
p0501,1.646
p0502,1.593
p0503,1.579
p0504,1.575
p0505,1.562
p0506,1.523
p0507,1.519
p0508,1.495
p0509,1.474
p0510,1.436
p0511,1.420
p0512,1.378
p0513,1.324
p0514,1.304
p0515,1.858
p0516,1.854
p0517,1.800
p0518,1.761
p0519,1.739
p0520,1.695
p0521,1.662
p0522,1.634
p0523,1.616
p0524,1.579
p0525,1.544
p0526,1.529
p0527,1.495
p0528,1.487
p0529,1.436
p0530,1.401
p0531,1.373
p0532,1.331
p0533,1.863
p0534,1.847
p0535,1.821
p0536,1.787
p0537,1.765
p0538,1.727
p0539,1.713
p0540,1.677
p0541,1.647
p0542,1.636
p0543,1.593
p0544,1.540
p0545,1.527
p0546,1.487
p0547,1.457
p0548,1.423
p0549,1.389
p0550,1.356
p0551,1.325
p0552,1.301
p0553,1.899
p0554,1.868
p0555,1.823
p0556,1.801
p0557,1.779
p0558,1.753
p0559,1.746
p0560,1.716
p0561,1.705
p0562,1.647
p0563,1.631
p0564,1.590
p0565,1.556
p0566,1.548
p0567,1.510
p0568,1.462
p0569,1.437
p0570,1.434
p0571,1.396
p0572,1.366
p0573,1.356
p0574,1.324
p0575,1.873
p0576,1.824
p0577,1.791
p0578,1.776
p0579,1.724
p0580,1.708
p0581,1.684
p0582,1.627
p0583,1.608
p0584,1.562
p0585,1.553
p0586,1.496
p0587,1.454
p0588,1.414
p0589,1.381
p0590,1.367
p0591,1.354
p0592,1.315
p0593,1.865
p0594,1.824
p0595,1.804
p0596,1.777
p0597,1.759
p0598,1.725
p0599,1.718
p0600,1.666
